Infectious disease / vaccine,Outcome of vaccination (direct/individual protection only),Definition of fully vaccinated in Gaza,Other specifications,Central estimate,Lower bound,Upper bound,Notes,Sources used,Reviewer
Polio / IPV-OPV sequential,Vaccine effectiveness against severe disease (% of fully vaccinated people who are protected against acquiring severe disease),"IPV: 2 infant doses at months 1 and 2; OPV: 3 infant doses at months 2, 4, and 6 with boosters at 18mths and around year 6","In Gaza, OPV is combined with IPV",0.800,0.750,0.950,"Paralitic poliomyelitis. Grassly: 2 doses of IPV would provide about 80% protection. Effect is driven by IPV, and there is evidence that the combined schedule is non-inferior to IPV alone. Consistent with WHO/SAGE review of older literature. Lower-upper bounds estimated by reviewer based on values in WHO/SAGE review.","https://academic.oup.com/jid/article/210/suppl_1/S439/2193871?login=false
https://cdn.who.int/media/docs/default-source/biologicals/vaccine-quality/polio-grad-ipv-effectiveness.pdf?sfvrsn=f60a16ca_2",Francesco Checchi
Polio / IPV-OPV sequential,Immunity waning rate per year (1 / mean duration of functional vaccine protection against infection and/or disease),after full priming regimen,"In Gaza, OPV is combined with IPV",0.050,0.067,0.033,"Very limited data, so figures are assumed (conversely, one may assume zero waning).
Swartz: zero waning in 5 years after IPV-OPV series in Israel. Ma and Gao papers: full protection for at least 10y post booster.","https://www.sciencedirect.com/science/article/abs/pii/S0264410X98000711
https://academic.oup.com/jid/article/225/4/557/6372879
https://www.sciencedirect.com/science/article/pii/S2589537023003280",Francesco Checchi
Haemophilus influenzae type B (as part of pentavalent vaccine),Vaccine effectiveness against infection (% of fully vaccinated people who are protected against acquiring infection),"3 infant doses at months 2, 4, and 6",,0.600,0.500,0.800,Adegbola (Gambia). Consistent with Murphy (81%).,"https://academic.oup.com/jid/article/177/6/1758/2190989?login=false
https://www.jpeds.com/article/S0022-3476(05)83529-2/pdf",Francesco Checchi
Haemophilus influenzae type B (as part of pentavalent vaccine),Vaccine effectiveness against pneumonia (% of fully vaccinated people who are protected against acquiring severe disease),"3 infant doses at months 2, 4, and 6",,0.180,-0.020,0.330,Against radiologically confirmed pneumonia. Includes RCTs and observational studies.,https://academic.oup.com/ije/article/39/suppl_1/i172/702804?login=false,Francesco Checchi
Haemophilus influenzae type B (as part of pentavalent vaccine),Vaccine effectiveness against meningitis or other invasive disease (% of fully vaccinated people who are protected against acquiring severe disease),"3 infant doses at months 2, 4, and 6",,0.940,0.780,0.980,"Effect on Hib meningitis mortality, assumed to be a reasonable proxy of severe disease. Very consistent with Griffiths et al.'s estimate for invasive disease.","https://bmcpublichealth.biomedcentral.com/articles/10.1186/1471-2458-13-S3-S21
https://www.cambridge.org/core/journals/epidemiology-and-infection/article/dosespecific-efficacy-of-haemophilus-influenzae-type-b-conjugate-vaccines-a-systematic-review-and-metaanalysis-of-controlled-clinical-trials/C572664667295E56DE60FD95749AEEB3",Francesco Checchi
Haemophilus influenzae type B (as part of pentavalent vaccine),Immunity waning rate per year (1 / mean duration of functional vaccine protection against infection and/or disease),after full priming regimen,,0.067,0.100,0.050,"Little evidence, but very limited waning at least in the first 10 years. Estimated values.
Silfverdal: About 90% still had protective levels of Abs at 5y of age.
Hammitt: with time, naturally acquired Abs are replaced by vaccine-acuired Abs, with no loss in immunity.
Hallander: Very limited waning in first 10y.","https://www.tandfonline.com/doi/full/10.4161/21645515.2014.970494
https://www.thelancet.com/journals/langlo/article/PIIS2214-109X(15)00316-2/fulltext
https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1600-0463.2010.02674.x",Francesco Checchi
Pneumococcus (conjugate vaccine),Vaccine effectiveness against infection (% of fully vaccinated people who are protected against acquiring infection),"2 infant doses at months 2, 4; dose 3 at month 12",PCV-10,0.560,0.410,0.720,"Table 1 of Flasche et al. Broadly consistent with Figures 2-3, Fleming-Dutra et al. review. Note this is in toddlers, but not too different from infants according to Fleming-Dutra et al.","https://doi.org/10.1186/s12916-017-0882-9 
https://journals.lww.com/pidj/toc/2014/01002",Francesco Checchi
Pneumococcus (conjugate vaccine),Vaccine effectiveness against pneumonia (% of fully vaccinated people who are protected against acquiring severe disease),"2 infant doses at months 2, 4; dose 3 at month 12",PCV-10,0.350,0.260,0.430,"Table 2 of citation: Cutts et al. trial, evaluating CXR pneumonia among children 6-51 weeks of age, followed for 2 years. Cutts trial also seems consistent with observational studies (Table 4), though the latter include indirect effects.
Results are also broadly consistent with review by Reyburn et al., though again the latter include indirect effects.","https://journals.lww.com/pidj/toc/2014/01002
https://jogh.org/2023/jogh-13-05002",Francesco Checchi
Pneumococcus (conjugate vaccine),Vaccine effectiveness against meningitis or other invasive disease (% of fully vaccinated people who are protected against acquiring severe disease),"2 infant doses at months 2, 4; dose 3 at month 12",PCV-10,0.920,0.580,0.990,"NOTE: Vaccine-type only IPD. Some IPD may be non-VT. Median of trials ond observational studies (Tables 2-3, Conklin et al.) among general population.",https://journals.lww.com/pidj/toc/2014/01002,Francesco Checchi
Pneumococcus (conjugate vaccine),Immunity waning rate per year (1 / mean duration of functional vaccine protection against infection and/or disease),after above regimen,PCV-10,0.120,0.090,0.200,"Waning of protection against carriage (infection). Rate per year. However, this is with a booster. With the 3+0 schedule, waning appears much faster (Swarthout et al.).","https://doi.org/10.1016%2Fj.vaccine.2017.07.019
https://www.thelancet.com/action/showPdf?pii=S1473-3099%2822%2900438-8
",Francesco Checchi
Rotavirus (1-valent),Vaccine effectiveness against infection (% of fully vaccinated people who are protected against acquiring infection),"3 infant doses at months 2, 4, and 6",ROTAVAC,0.390,0.160,0.570,"Bennett et al.: household SAR study from Malawi. SAR estimates similar to Ecuador and New Zealand, so perhaps results would not be too unrepresentative of a high-income setting.",https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30597-1/fulltext,Francesco Checchi
Rotavirus (1-valent),Vaccine effectiveness against severe disease (% of fully vaccinated people who are protected against acquiring severe disease),"3 infant doses at months 2, 4, and 6",ROTAVAC,0.889,0.809,0.935,"Developed' countries, vaccine effectiveness. Table 1 (Lamberti et al.). Effect on hospitalisations due to rotavirus. Children <5yo. Consistent with Hungerford et al. and Clark et al.","https://journals.lww.com/pidj/toc/2016/09000
https://doi.org/10.1186/s12879-017-2613-4",Francesco Checchi
Rotavirus (1-valent),Immunity waning rate per year (1 / mean duration of functional vaccine protection against infection and/or disease),after full priming regimen,ROTAVAC,0.285,0.000,0.494,"From Haber et al.: Waning under three waning models: moderate, low, severe. Transformed from monthly rate to yearly rate via risk. Fairly consistent with Clark et al.","https://doi.org/10.1080/21645515.2021.1968738
https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(19)30126-4/fulltext",Francesco Checchi
